| 2.5 atm
55 95 e0 a9 d2 45 7a 5f ff fd fd 79| 23:42:55
55 95 e0 a9 d2 45 7a 5f ff fd fd 79| 23:42:55
55 95 e0 a9 d2 45 7a 5f ff fd fd 79| 23:47:50
55 95 e0 a9 d2 45 7a 5f ff fd fd 79| 23:47:51
| 2.4 atm
55 95 e0 a9 d2 45 7e 5f ff fd fb 79| 23:52:46
55 95 e0 a9 d2 45 7e 5f ff fd fb 79| 23:52:46
55 95 e0 a9 d2 45 7e 5f ff fd fb 79| 23:57:42
55 95 e0 a9 d2 45 7e 5f ff fd fb 79| 23:57:42
55 95 e0 a9 d2 45 7e 5f ff fd fb 79| 00:02:37
55 95 e0 a9 d2 45 7e 5f ff fd fb 79| 00:02:38
55 95 e0 a9 d2 45 7e 5f ff fd fb 79| 00:07:33
55 95 e0 a9 d2 45 7e 5f ff fd fb 79| 00:07:33
55 95 e0 a9 d2 45 7e 5f ff fd fb 79| 00:12:29
55 95 e0 a9 d2 45 7e 5f ff fd fb 79| 00:12:29
| 2.3 atm
55 95 e0 a9 d2 45 82 5f ff fd f9 79| 00:17:25
55 95 e0 a9 d2 45 82 5f ff fd f9 79| 00:17:25
55 95 e0 a9 d2 45 82 5f ff fd f9 79| 00:22:20
55 95 e0 a9 d2 45 82 5f ff fd f9 79| 00:22:20
55 95 e0 a9 d2 45 82 5f ff fd f9 79| 00:27:16
55 95 e0 a9 d2 45 82 5f ff fd f9 79| 00:27:16
55 95 e0 a9 d2 45 82 5f ff fd f9 79| 00:32:12
55 95 e0 a9 d2 45 82 5f ff fd f9 79| 00:32:12
55 95 e0 a9 d2 45 82 5f ff fd f9 79| 00:37:08
55 95 e0 a9 d2 45 82 5f ff fd f9 79| 00:37:08
| 2.2 atm
55 95 e0 a9 d2 45 86 5f ff fd f7 79| 00:42:03
55 95 e0 a9 d2 45 86 5f ff fd f7 79| 00:42:03
55 95 e0 a9 d2 45 86 5f ff fd f7 79| 00:46:59
55 95 e0 a9 d2 45 86 5f ff fd f7 79| 00:46:59
55 95 e0 a9 d2 45 86 5f ff fd f7 79| 00:51:55
55 95 e0 a9 d2 45 86 5f ff fd f7 79| 00:51:55
55 95 e0 a9 d2 45 86 5f ff fd f7 79| 00:56:51
55 95 e0 a9 d2 45 86 5f ff fd f7 79| 00:56:51
55 95 e0 a9 d2 45 86 5f ff fd f7 79| 01:01:47
55 95 e0 a9 d2 45 86 5f ff fd f7 79| 01:01:47
55 95 e0 a9 d2 45 8a 5f ff fd f5 79| 01:06:42
55 95 e0 a9 d2 45 8a 5f ff fd f5 79| 01:06:43
| 2.1 atm
55 95 e0 a9 d2 45 8a 61 ff fd f3 79| 01:11:38
55 95 e0 a9 d2 45 8a 61 ff fd f3 79| 01:11:39
